Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Species
C03071,,Metabolite,0.001,,,,
C01444,,Metabolite,0.001,,,,
C00718,,Metabolite,0.001,,,,
C00005,,Metabolite,0.12,,,,
C03939,,Metabolite,0.001,,,,
C00658,,Metabolite,0.001,,,,
C00665,,Metabolite,0.001,,,,
C00288,,Metabolite,0.001,,,,
C00631,,Metabolite,0.0,,,,
C02575,,Metabolite,0.001,,,,
C00463,,Metabolite,0.001,,,,
C04302,,Metabolite,0.001,,,,
C00311,,Metabolite,0.001,,,,
C00390,,Metabolite,0.001,,,,
C05274,,Metabolite,0.001,,,,
C00085,,Metabolite,0.001,,,,
C00037,,Metabolite,0.001,,,,
C00029,,Metabolite,0.001,,,,
C00092,,Metabolite,5.0,,,,
C04620,,Metabolite,0.001,,,,
C04284,,Metabolite,0.001,,,,
C00154,,Metabolite,0.001,,,,
C00074,,Metabolite,0.18,,,,
C15972,,Metabolite,0.001,,,,
C01236,,Metabolite,0.0,,,,
C01353,,Metabolite,0.001,,,,
C00022,,Metabolite,0.0,,,,
C00249,,Metabolite,0.001,,,,
C00197,,Metabolite,1.5,,,,
C01960,,Metabolite,0.001,,,,
C05764,,Metabolite,0.001,,,,
C00026,,Metabolite,0.44,,,,
C00041,,Metabolite,0.001,,,,
C00755,,Metabolite,0.001,,,,
C00049,,Metabolite,0.001,,,,
C00004,,Metabolite,0.083,,,,
C00048,,Metabolite,0.0,,,,
C18653,,Metabolite,0.001,,,,
C00198,,Metabolite,0.001,,,,
C00002,,Metabolite,0.001,,,,
C00040,,Metabolite,0.001,,,,
C12059,,Metabolite,0.001,,,,
C00122,,Metabolite,0.001,,,,
C00011,,Metabolite,0.001,,,,
C00454,,Metabolite,0.001,,,,
C00347,,Metabolite,0.001,,,,
C00236,,Metabolite,0.0,,,,
C00083,,Metabolite,0.001,,,,
C01691,,Metabolite,0.001,,,,
C00199,,Metabolite,0.5,,,,
C00640,,Metabolite,0.001,,,,
C00231,,Metabolite,0.5,,,,
C00111,,Metabolite,0.37,,,,
C10443,,Metabolite,0.001,,,,
C00031,,Metabolite,0.001,,,,
C00042,,Metabolite,7.1692,,,,
C00091,,Metabolite,0.23,,,,
C00354,,Metabolite,15.0,,,,
C00101,,Metabolite,0.001,,,,
C00033,,Metabolite,0.001,,,,
C00065,,Metabolite,0.001,,,,
C01514,,Metabolite,0.001,,,,
C00080,,Metabolite,0.0001,,,,
C00842,,Metabolite,0.001,,,,
C02287,,Metabolite,0.001,,,,
C00227,,Metabolite,1.1,,,,
C00010,,Metabolite,1.4,,,,
C00006,,Metabolite,0.0021,,,,
C00740,,Metabolite,0.001,,,,
C00009,,Metabolite,0.001,,,,
C15650,,Metabolite,0.001,,,,
