Label,Enzyme,Reaction ID,Substrates,Products,EC,Mechanism,Km,Kcat,Inhibitors,KI,Keq,Kcat_Imputed,Km_Imputed,KI_Imputed
R16,Beta-ketoacyl-[acyl-carrier-protein] synthase iii,R01624,1 C00024; 1 C00229,1 C00010; 1 C03939,2.3.1.180,MRL,Km_C00024: 0.0425; Km_C00229: 0.074641; Km_C00010: 0.0297616; Km_C03939: 0.151661,Kcat_F: 2.96996; Kcat_R: 8.887,,,0.8411493280487959,,Km_C00229,
R17,[acyl-carrier-protein] s-malonyltransferase,R01626,1 C00083; 1 C00229,1 C00010; 1 C01209,2.3.1.39,MRL,Km_C00083: 0.0297; Km_C00229: 0.351; Km_C00010: 0.0394135; Km_C01209: 0.140038,Kcat_F: 1580; Kcat_R: 37.7015,,,5.899153641127439e-10,,Km_C01209,
R18,Beta-ketoacyl-[acyl-carrier-protein] synthase i,R02768,1 C00173; 1 C01209,1 C00011; 1 C00229; 1 C00685,2.3.1.41,MRL,Km_C00173: 0.0115; Km_C01209: 0.0115; Km_C00011: 0.0115; Km_C00229: 0.0115; Km_C00685: 0.0115,Kcat_F: 0.011; Kcat_R: 1237.43,,,1.0,R,Km_C00173; Km_C00011; Km_C00229; Km_C00685,
R20,Acetyl-coa c-acetyltransferase,R00238,2.0 C00024,1 C00010; 1 C00332,2.3.1.9,MRL,Km_C00024: 0.3043; Km_C00010: 0.008; Km_C00332: 0.0176,Kcat_F: 6.5; Kcat_R: 153.133,,,4.203952669042847e-05,,,
R21,Citrate (si)-synthase,R00351,1 C00010; 1 C00158,1 C00001; 1 C00024; 1 C00036,2.3.3.1,MRL,Km_C00010: 113.968; Km_C00158: 113.968; Km_C00001: 113.968; Km_C00024: 113.968; Km_C00036: 113.968,Kcat_F: 2954.87; Kcat_R: 1237.43,,,1.6057484977815639e-07,F; R,Km_C00010; Km_C00158; Km_C00001; Km_C00024; Km_C00036,
R22,Glycogen phosphorylase,R01821,1 C00009; 0 C00718,1 C00103; 0 C00718,2.4.1.1,MRL,Km_C00009: 0.5; Km_C00718: 0.75; Km_C00103: 1; Km_C00718: 0.75,Kcat_F: 2954.87; Kcat_R: 24.6642,C00498; C00029; C00198; C01478; C00842; C00031,C00498_KI: 0.7;C00029_KI: 2;C00198_KI: 0.9;C01478_KI: 0.5;C00842_KI: 1;C00031_KI: 2.5,7.124576406741286e-218,F,Km_C00718; Km_C00718,
R23,6-phosphofructokinase,R00756,1 C00002; 1 C00085,1 C00008; 1 C00354,2.7.1.11,MRL,Km_C00002: 2033.36; Km_C00085: 0.828633; Km_C00008: 0.160945; Km_C00354: 0.296689,Kcat_F: 58.5093; Kcat_R: 4.43926,,,1323.5664777430577,,,
R24,Pyruvate kinase,R00200,1 C00002; 1 C00022,1 C00008; 1 C00074,2.7.1.40,MRL,Km_C00002: 0.254349; Km_C00022: 0.335263; Km_C00008: 0.121483; Km_C00074: 0.168299,Kcat_F: 26.4896; Kcat_R: 55.3871,,,4.102500437533981e-05,,,
R26,Acetate kinase,R00315,1 C00002; 1 C00033,1 C00008; 1 C00227,2.7.2.1,MRL,Km_C00002: 1.185; Km_C00033: 72.65; Km_C00008: 0.755; Km_C00227: 1.30333,Kcat_F: 942.125; Kcat_R: 1793.75,,,0.0035291418980283843,,,
R27,Phosphoglycerate kinase,R01512,1 C00002; 1 C00197,1 C00008; 1 C00236,2.7.2.3,MRL,Km_C00002: 0.345275; Km_C00197: 0.500705; Km_C00008: 0.269512; Km_C00236: 0.084625,Kcat_F: 314.278; Kcat_R: 324.27,,,0.000374269070996439,,,
