compound_id,preferred_name,synonyms
kegg:C00249,"Hexadecanoic acid","Cetylic acid|Hexadecanoate|Hexadecanoic acid|Hexadecylic acid|Palmitate|Palmitic acid"
kegg:C00250,"Pyridoxal","Pyridoxal"
kegg:C00251,"Chorismate","Chorismate|Chorismic acid"
kegg:C00252,"Isomaltose","Brachiose|Isomaltose"
kegg:C00253,"Nicotinate","3-Pyridinecarboxylic acid|Niacin|Nicotinate|Nicotinic acid"
kegg:C00254,"Prephenate","Prephenate|Prephenic acid"
kegg:C00255,"Riboflavin","7,8-Dimethyl-10-ribitylisoalloxazine|Lactoflavin|Riboflavin|Vitamin B2"
kegg:C00256,"(R)-Lactate","(R)-Lactate|D-2-Hydroxypropanoic acid|D-2-Hydroxypropionic acid|D-Lactate|D-Lactic acid"
kegg:C00257,"D-Gluconic acid","D-Gluconate|D-Gluconic acid|D-gluco-Hexonic acid"
kegg:C00258,"D-Glycerate","(R)-Glycerate|D-Glycerate|Glycerate|Glyceric acid"
kegg:C00259,"L-Arabinose","L-Arabinopyranose|L-Arabinose"
kegg:C00261,"Benzaldehyde","Benzaldehyde|Benzoic aldehyde"
kegg:C00262,"Hypoxanthine","Hypoxanthine|Purine-6-ol"
kegg:C00263,"L-Homoserine","2-Amino-4-hydroxybutyric acid|L-Homoserine"
kegg:C00264,"3-Oxoacyl-CoA","3-Oxoacyl-CoA"
kegg:C00265,"Dithiothreitol","1,4-Dithiothreitol|DL-threo-1,4-Dimercapto-2,3-butanediol|Dithiothreitol|threo-1,4-Dimercapto-2,3-butanediol"
kegg:C00266,"Glycolaldehyde","Glycolaldehyde|Hydroxyacetaldehyde"
kegg:C00267,"alpha-D-Glucose","alpha-D-Glucose"
kegg:C00268,"Dihydrobiopterin","(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin|6,7-Dihydrobiopterin|Dihydrobiopterin|Quinoid-dihydrobiopterin"
kegg:C00269,"CDP-diacylglycerol","1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate|CDP-1,2-diacylglycerol|CDP-diacylglycerol"
kegg:C00270,"N-Acetylneuraminate","5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid|N-Acetylneuraminate|N-Acetylneuraminic acid|Neu5Ac"
kegg:C00272,"Tetrahydrobiopterin","2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone|5,6,7,8-Tetrahydrobiopterin|Tetrahydrobiopterin"
kegg:C00273,"5-Dehydro-D-fructose","5-Dehydro-D-fructose"
kegg:C00275,"D-Mannose 6-phosphate","D-Mannose 6-phosphate"
kegg:C00279,"D-Erythrose 4-phosphate","D-Erythrose 4-phosphate|d-erythrose 4-phospahte"
kegg:C00280,"Androstenedione","4-Androstene-3,17-dione|Androst-4-ene-3,17-dione|Androstenedione"
kegg:C00281,"sedoheptulose 7-phosphate","sedoheptulose 7-phosphate"
kegg:C00282,"Hydrogen","H2|Hydrogen"
kegg:C00283,"Hydrogen sulfide","H2S|Hydrogen sulfide|Hydrogen-sulfide|Sulfide|hydrogen sulfide"
kegg:C00284,"EDTA","EDTA|Edetic acid|Ethylenediaminetetraacetic acid"
kegg:C00286,"dGTP","2'-Deoxyguanosine 5'-triphosphate|Deoxyguanosine 5'-triphosphate|Deoxyguanosine triphosphate|dGTP"
kegg:C00287,"Ester","Ester"
kegg:C00288,"CO2(total)","CO2(total)"
kegg:C00290,"Fibrin","Fibrin"
kegg:C00291,"Nickel","Nickel"
kegg:C00292,"Aniline","Aniline|Arylamine|Benzenamine|Phenylamine"
kegg:C00294,"Inosine","Inosine"
kegg:C00295,"Orotate","Orotate|Orotic acid|Uracil-6-carboxylic acid"
kegg:C00296,"Quinate","(-)-Quinic acid|Chinic acid|Kinic acid|L-Quinate|L-Quinic acid|Quinate|Quinic acid"
kegg:C00297,"Sulfide","Sulfide|Thioether"
kegg:C00298,"Trypsin","Trypsin|Trypsin crystallized"
kegg:C00299,"Uridine","Uridine"
kegg:C00300,"Creatine","Creatine|Methylglycocyamine|alpha-Methylguanidino acetic acid"
kegg:C00301,"ADP-ribose","ADP-D-ribose|ADP-ribose|Adenosine diphosphate ribose"
kegg:C00302,"DL-Glutamate","2-Aminoglutaric acid|DL-Glutamate|DL-Glutaminic acid|Glutamate|Glutamic acid"
kegg:C00303,"Glutamine","2-Aminoglutaramic acid|Glutamine"
kegg:C00304,"Kanamycin","Kanamycin"
kegg:C00305,"Magnesium cation","Magnesium cation|Magnesium ion|Magnesium(2+)|Mg2+"
kegg:C00306,"Bradykinin","Bradykinin"
kegg:C00307,"CDP-choline","CDP-choline|Citicoline|Cytidine 5'-diphosphocholine|cdpcholine"
kegg:C00308,"Canavanine","2-Amino-4-(guanidinooxy)butyric acid|Canavanine|L-Canavanine"
kegg:C00309,"D-Ribulose","D-Arabinoketose|D-Arabinulose|D-Riboketose|D-Ribulose|D-erythro-2-Pentulose"
kegg:C00310,"D-Xylulose","D-Lyxulose|D-Xylulose|D-threo-Pentulose"
kegg:C00311,"Isocitrate","1-Hydroxypropane-1,2,3-tricarboxylic acid|1-Hydroxytricarballylic acid|Isocitrate|Isocitric acid"
kegg:C00312,"L-Xylulose","L-Lyxulose|L-Xylulose|L-threo-Pentulose"
kegg:C00313,"Oxalyl-CoA","Oxalyl-CoA"
kegg:C00314,"Pyridoxine","Pyridoxine|Pyridoxol"
kegg:C00315,"Spermidine","N-(3-Aminopropyl)-1,4-butane-diamine|Spermidine"
kegg:C00317,"Amylopectin","Amylopectin"
kegg:C00318,"L-Carnitine","(R)-Carnitine|3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt|L-Carnitine|L-gamma-Trimethyl-beta-hydroxybutyrobetaine|Levocarnitine|Vitamin BT"
kegg:C00319,"Sphingosine","Sphing-4-enine|Sphingenine|Sphingoid|Sphingosine"
kegg:C00320,"Thiosulfate","Hyposulfite|Thiosulfate"
kegg:C00322,"2-Oxoadipate","2-Oxoadipate|2-Oxoadipic acid"
kegg:C00323,"Caffeoyl-CoA","Caffeoyl-CoA"
kegg:C00324,"Ferricyanide","Ferricyanide|Hexacyanoferrate(III)"
kegg:C00325,"GDP-L-fucose","GDP-L-fucose|GDP-beta-L-fucose"
kegg:C00326,"Glycoprotein","Glycoprotein"
kegg:C00327,"L-Citrulline","2-Amino-5-ureidovaleric acid|Citrulline|L-Citrulline"
kegg:C00328,"L-Kynurenine","3-Anthraniloyl-L-alanine|L-Kynurenine"
kegg:C00329,"D-Glucosamine","2-Amino-2-deoxy-D-glucose|Chitosamine|D-Glucosamine"
kegg:C00330,"Deoxyguanosine","2'-Deoxyguanosine|Deoxyguanosine"
kegg:C00331,"Indolepyruvate","(Indol-3-yl)pyruvate|3-(Indol-3-yl)pyruvate|Indole-3-pyruvate|Indolepyruvate|Indolepyruvic acid"
kegg:C00332,"Acetoacetyl-CoA","3-Acetoacetyl-CoA|3-Oxobutanoyl-coa|3-oxobutanoyl-coa|Acetoacetyl coenzyme A|Acetoacetyl-CoA"
kegg:C00333,"D-Galacturonate","D-Galacturonate|D-Galacturonic acid"
kegg:C00334,"4-Aminobutanoate","4-Aminobutanoate|4-Aminobutanoic acid|4-Aminobutyrate|4-Aminobutyric acid|GABA|gamma-Aminobutyric acid"
kegg:C00337,"(S)-Dihydroorotate","(S)-4,5-Dihydroorotate|(S)-Dihydroorotate|Dihydro-L-orotic acid|L-Dihydroorotate|L-Dihydroorotic acid"
kegg:C00338,"Lipopolysaccharide","LPS|Lipopolysaccharide"
kegg:C00339,"Long-chain alcohol","Long-chain alcohol"
kegg:C00340,"Reduced rubredoxin","Reduced rubredoxin"
kegg:C00341,"Geranyl diphosphate","Geranyl diphosphate"
kegg:C00342,"Thioredoxin","Reduced thioredoxin|Thioredoxin"
kegg:C00343,"Thioredoxin disulfide","Oxidized thioredoxin|Thioredoxin disulfide|Thioredoxin sulfide"
kegg:C00344,"Phosphatidylglycerol","3(3-Phosphatidyl-)glycerol|3-(3-sn-Phosphatidyl)glycerol|Phosphatidylglycerol|PtdGro"
kegg:C00345,"6-Phospho-D-gluconate","6-Phospho-D-gluconate"
kegg:C00346,"Ethanolamine phosphate","Ethanolamine phosphate|O-Phosphoethanolamine|O-Phosphorylethanolamine|Phosphoethanolamine"
kegg:C00347,"Long-chain carboxylate","Long-chain carboxylate|Long-chain carboxylic acid"
kegg:C00348,"all-trans-Undecaprenyl phosphate","all-trans-Undecaprenyl phosphate"
kegg:C00349,"2-Methyl-3-oxopropanoate","2-Methyl-3-oxopropanoate|3-Oxo-2-methylpropanoate|Methylmalonate semialdehyde"
