compound_id,preferred_name,synonyms
kegg:C00128,"CMP-N-acetylneuraminate","CMP-N-acetylneuraminate"
kegg:C00129,"Isopentenyl diphosphate","Isopentenyl diphosphate|delta3-Isopentenyl diphosphate|delta3-Methyl-3-butenyl diphosphate"
kegg:C00130,"IMP","5'-IMP|5'-Inosinate|5'-Inosine monophosphate|5'-Inosinic acid|IMP|Inosine 5'-monophosphate|Inosine 5'-phosphate|Inosine monophosphate|Inosinic acid"
kegg:C00131,"dATP","2'-Deoxyadenosine 5'-triphosphate|Deoxyadenosine 5'-triphosphate|Deoxyadenosine triphosphate|dATP"
kegg:C00132,"Methanol","Methanol|Methyl alcohol"
kegg:C00133,"D-Alanine","D-2-Aminopropionic acid|D-Ala|D-Alanine"
kegg:C00134,"Putrescine","1,4-Butanediamine|1,4-Diaminobutane|Butane-1,4-diamine|Putrescine|Tetramethylenediamine"
kegg:C00135,"L-Histidine","(S)-alpha-Amino-1H-imidazole-4-propionic acid|L-Histidine"
kegg:C00136,"Butanoyl-CoA","Butanoyl-CoA|Butyryl-CoA"
kegg:C00137,"myo-Inositol","1D-myo-Inositol|1L-myo-Inositol|Bios I|Cyclohexitol|D-myo-Inositol|Dambose|Inositol|L-myo-Inositol|Meat sugar|meso-Inositol|myo-Inositol"
kegg:C00138,"Reduced ferredoxin","Ferredoxin(red)|Reduced ferredoxin|ferredoxin(red)"
kegg:C00139,"Oxidized ferredoxin","Ferredoxin(ox)|Oxidized ferredoxin|ferredoxin(ox)"
kegg:C00140,"N-Acetyl-D-glucosamine","2-Acetamido-2-deoxy-D-glucose|GlcNAc|N-Acetyl-D-glucosamine|N-Acetylchitosamine"
kegg:C00141,"3-Methyl-2-oxobutanoic acid","2-Keto-3-methylbutyric acid|2-Ketoisovalerate|2-Ketovaline|2-Oxo-3-methylbutanoate|2-Oxoisopentanoate|2-Oxoisovalerate|3-Methyl-2-oxobutanoate|3-Methyl-2-oxobutanoic acid|3-Methyl-2-oxobutyric acid|alpha-Ketovaline"
kegg:C00143,"5,10-Methylenetetrahydrofolate","(6R)-5,10-Methylenetetrahydrofolate|5,10-Methylene-THF|5,10-Methylenetetrahydrofolate"
kegg:C00144,"GMP","GMP|Guanosine 5 '-phosphate|Guanosine 5'-monophosphate|Guanosine 5'-phosphate|Guanosine monophosphate|Guanylic acid|guanosine 5 '-phosphate"
kegg:C00145,"Thiol","Mercaptan|Thiol"
kegg:C00146,"Phenol","Benzenol|Hydroxybenzene|Phenic acid|Phenol|Phenylic acid"
kegg:C00147,"Adenine","6-Aminopurine|Adenine"
kegg:C00148,"L-Proline","(S)-Proline|(s)-proline|2-Pyrrolidinecarboxylic acid|L-Proline"
kegg:C00149,"(S)-Malate","(S)-Malate|L-2-Hydroxybutanedioic acid|L-Apple acid|L-Malate|L-Malic acid|Malate|Malic acid"
kegg:C00150,"Molybdenum","Molybdenum"
kegg:C00151,"L-Amino acid","L-2-Amino acid|L-Amino acid"
kegg:C00152,"L-Asparagine","2-Aminosuccinamic acid|L-Asparagine"
kegg:C00153,"Nicotinamide","Niacinamide|Nicotinamide|Nicotinic acid amide|Vitamin PP"
kegg:C00154,"Palmitoyl-CoA","Hexadecanoyl-CoA|Palmitoyl-CoA"
kegg:C00155,"L-Homocysteine","L-2-Amino-4-mercaptobutyric acid|L-Homocysteine"
kegg:C00156,"4-Hydroxybenzoate","4-Hydroxybenzoate|4-Hydroxybenzoic acid|Hydroxybenzenecarboxylic acid|Hydroxybenzoic acid"
kegg:C00157,"Phosphatidylcholine","1,2-Diacyl-sn-glycero-3-phosphocholine|3-sn-Phosphatidylcholine|Choline phosphatide|Lecithin|Phosphatidyl-N-trimethylethanolamine|Phosphatidylcholine"
kegg:C00158,"Citrate","2-Hydroxy-1,2,3-propanetricarboxylic acid|2-Hydroxytricarballylic acid|Citrate|Citric acid"
kegg:C00159,"D-Mannose","Carubinose|D-Mannose|Mannose|Seminose"
kegg:C00160,"Glycolate","Glycolate|Glycolic acid|Hydroxyacetic acid"
kegg:C00161,"2-Oxo acid","2-Oxo acid|2-Oxocarboxylate"
kegg:C00162,"Fatty acid","Fatty acid"
kegg:C00163,"Propanoate","Propanoate|Propanoic acid|Propionate|Propionic acid"
kegg:C00164,"Acetoacetate","3-Oxobutanoate|3-Oxobutanoic acid|3-oxobutanoate|Acetoacetate|Acetoacetic acid|beta-Ketobutyric acid"
kegg:C00165,"Diacylglycerol","Diacylglycerol|Diglyceride"
kegg:C00166,"Phenylpyruvate","3-Phenyl-2-oxopropanoate|Phenylpyruvate|Phenylpyruvic acid|alpha-Ketohydrocinnamic acid|keto-Phenylpyruvate"
kegg:C00167,"UDP-glucuronate","UDP-D-glucuronate|UDP-alpha-D-glucuronate|UDP-glucuronate|UDPglucuronate"
kegg:C00168,"Hydroxypyruvate","3-Hydroxypyruvate|3-Hydroxypyruvic acid|Hydroxypyruvate|Hydroxypyruvic acid"
kegg:C00169,"Carbamoyl phosphate","Carbamoyl phosphate"
kegg:C00170,"5'-Methylthioadenosine","5 '-methylthioadenosine|5'-Deoxy-5'-(methylthio)adenosine|5'-Methylthioadenosine|5-Methylthioadenosine|MTA|Methylthioadenosine|S-Methyl-5'-thioadenosine|Thiomethyladenosine"
kegg:C00171,"5'-Phosphomononucleotide","5'-Phosphomononucleotide"
kegg:C00172,"3'-Phosphooligonucleotide","3'-Phosphooligonucleotide"
